2019-08-02 17:40:14.409 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-08-02 17:40:14.411 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Started ConsumerDemoApplication in 1.658 seconds (JVM running for 1.918)
2019-08-02 17:40:20.883 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-08-02 17:40:20.883 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-08-02 17:40:20.889 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2019-08-02 17:47:09.236 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Starting ConsumerDemoApplication on WIN-T1VJ0PHFT0F with PID 10420 (F:\mygit\eRpc\consumer-demo\target\classes started by Admin in F:\mygit\eRpc\consumer-demo)
2019-08-02 17:47:09.238 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - No active profile set, falling back to default profiles: default
2019-08-02 17:47:10.184 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-08-02 17:47:10.194 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-08-02 17:47:10.202 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-02 17:47:10.203 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-02 17:47:10.280 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-02 17:47:10.280 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1017 ms
2019-08-02 17:47:10.321 [main] INFO  org.ethan.eRpc.consumer.invoke.ERpcConsumerInvoker - ERpc Provider not enable
2019-08-02 17:47:10.326 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2019-08-02 17:47:10.333 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2019-08-02 18:35:13.704 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Starting ConsumerDemoApplication on WIN-T1VJ0PHFT0F with PID 20132 (F:\mygit\eRpc\consumer-demo\target\classes started by Admin in F:\mygit\eRpc\consumer-demo)
2019-08-02 18:35:13.707 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - No active profile set, falling back to default profiles: default
2019-08-02 18:35:14.991 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-08-02 18:35:15.006 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-08-02 18:35:15.014 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-02 18:35:15.014 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-02 18:35:15.106 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-02 18:35:15.106 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1362 ms
2019-08-02 18:35:15.166 [main] INFO  org.ethan.eRpc.consumer.invoke.ERpcConsumerInvoker - ERpc Provider not enable
2019-08-02 18:35:15.174 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2019-08-02 18:35:15.181 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2019-08-02 18:48:27.727 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Starting ConsumerDemoApplication on WIN-T1VJ0PHFT0F with PID 11764 (F:\mygit\eRpc\consumer-demo\target\classes started by Admin in F:\mygit\eRpc\consumer-demo)
2019-08-02 18:48:27.729 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - No active profile set, falling back to default profiles: default
2019-08-02 18:48:28.185 [main] INFO  o.s.c.annotation.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'ERpcPoxyCreator' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2019-08-02 18:48:28.723 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-08-02 18:48:28.735 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:28.743 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-08-02 18:48:28.743 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.21]
2019-08-02 18:48:28.817 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-08-02 18:48:28.817 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1064 ms
2019-08-02 18:48:28.861 [main] INFO  org.ethan.eRpc.consumer.invoke.ERpcConsumerInvoker - ERpc Provider not enable
2019-08-02 18:48:28.962 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-02 18:48:29.142 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:29.155 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:29.155 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2019-08-02 18:48:29.159 [main] INFO  org.apache.catalina.util.LifecycleBase - The stop() method was called on component [StandardServer[-1]] after stop() had already been called. The second call will be ignored.
2019-08-02 18:48:29.159 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:29.159 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8080"]
2019-08-02 18:48:29.161 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2019-08-02 18:48:29.164 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-08-02 18:48:56.038 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - Starting ConsumerDemoApplication on WIN-T1VJ0PHFT0F with PID 18140 (F:\mygit\eRpc\consumer-demo\target\classes started by Admin in F:\mygit\eRpc\consumer-demo)
2019-08-02 18:48:56.040 [main] INFO  o.ethan.eRpc.comsumerdemo.ConsumerDemoApplication - No active profile set, falling back to default profiles: default
2019-08-02 18:48:56.501 [main] INFO  o.s.c.annotation.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'ERpcPoxyCreator' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
